Date,  USD/RMB Exchange Rate,  DXY Index,  CFETS Index
1/2/2014,6.0506,91.184,118.0685
1/3/2014,6.0515,91.2587,118.0169
1/6/2014,6.0526,91.3031,118.1971
1/7/2014,6.0512,91.6157,118.1252
1/8/2014,6.0512,91.8845,118.3461
1/9/2014,6.055,91.9804,118.3572
1/10/2014,6.0521,91.8123,118.3782
1/13/2014,6.0434,91.6758,117.9972
1/14/2014,6.0412,91.7782,118.1102
1/15/2014,6.046,92.1425,118.4741
1/16/2014,6.0557,92.18,118.5293
1/17/2014,6.0502,92.3456,118.5163
1/20/2014,6.0527,90.6829,118.5921
1/21/2014,6.0505,92.3097,118.804
1/22/2014,6.0513,92.5574,118.6355
1/23/2014,6.0517,92.223,118.5769
1/24/2014,6.0488,91.9779,118.3902
1/27/2014,6.048,91.9849,118.3234
1/28/2014,6.0508,92.2263,118.3255
1/29/2014,6.0553,92.1499,118.3194
1/30/2014,6.06,92.6682,118.2981
2/7/2014,6.0634,92.0125,118.048
2/10/2014,6.0593,91.9791,118.0803
2/11/2014,6.0606,91.8843,117.9657
2/12/2014,6.0624,91.8988,117.9995
2/13/2014,6.0636,89.9431,117.9595
2/14/2014,6.0668,91.4227,117.6812
2/17/2014,6.0641,89.777,117.6971
2/18/2014,6.0673,91.2417,117.7176
2/19/2014,6.0764,91.4528,117.4389
2/20/2014,6.0834,91.8705,117.3964
2/21/2014,6.0914,90.2432,117.4269
2/24/2014,6.0984,91.5944,117.1768
2/25/2014,6.1266,91.5872,116.6055
2/26/2014,6.1248,91.9629,116.6663
2/27/2014,6.1284,91.7955,116.8763
2/28/2014,6.145,91.3642,116.344
3/3/2014,6.1462,89.8031,116.1178
3/4/2014,6.143,91.7364,116.288
3/5/2014,6.1282,91.5345,116.6784
3/6/2014,6.1185,91.0494,116.8752
3/7/2014,6.126,91.3568,116.4813
3/10/2014,6.1385,91.4171,116.3473
3/11/2014,6.1402,91.3965,116.3797
3/12/2014,6.145,91.3748,116.3698
3/13/2014,6.1361,90.9897,116.0848
3/14/2014,6.1502,91.0172,115.9235
3/17/2014,6.1781,89.2807,115.37
3/18/2014,6.192,91.0502,114.9873
3/19/2014,6.1965,91.2789,114.7976
3/20/2014,6.2275,92.0102,114.6604
3/21/2014,6.225,91.8608,114.7984
3/24/2014,6.1888,91.8983,115.2834
3/25/2014,6.2024,91.8188,114.9854
3/26/2014,6.2094,91.654,114.7609
3/27/2014,6.213,91.4537,114.7461
3/28/2014,6.2122,91.5844,114.8121
3/31/2014,6.218,91.4485,114.7505
4/1/2014,6.2069,91.3963,114.8287
4/2/2014,6.2056,91.5816,114.9143
4/3/2014,6.2107,91.8081,114.9932
4/4/2014,6.2123,91.5787,115.0402
4/8/2014,6.1968,90.8848,114.9218
4/9/2014,6.2005,90.7599,114.633
4/10/2014,6.2125,90.4931,114.1639
4/11/2014,6.2113,90.6428,114.1411
4/14/2014,6.2191,90.8872,114.1595
4/15/2014,6.222,90.9794,114.2158
4/16/2014,6.2214,91.1026,114.1947
4/17/2014,6.219,90.9923,114.1574
4/18/2014,6.2242,91.1464,114.1758
4/21/2014,6.2274,91.2265,114.1121
4/22/2014,6.2375,91.1714,113.9822
4/23/2014,6.2376,91.1792,113.9332
4/24/2014,6.2489,91.1204,113.7701
4/25/2014,6.2536,91.0939,113.7011
4/28/2014,6.253,91.0943,113.6038
4/29/2014,6.258,91.0296,113.6237
4/30/2014,6.2593,90.7438,113.7135
5/5/2014,6.2455,90.7011,113.6852
5/6/2014,6.2257,90.2774,113.8492
5/7/2014,6.2343,90.3421,113.5914
5/8/2014,6.228,90.3762,113.5955
5/9/2014,6.228,90.8435,113.7909
5/12/2014,6.2375,90.8559,113.866
5/13/2014,6.2291,91.0249,113.9803
5/14/2014,6.2289,90.9692,113.9935
5/15/2014,6.2306,90.959,114.0857
5/16/2014,6.2334,90.9419,113.8701
5/19/2014,6.2374,90.8548,113.7555
5/20/2014,6.2384,90.9984,113.8395
5/21/2014,6.2337,91.2363,113.8075
5/22/2014,6.235,91.1946,113.9172
5/23/2014,6.2365,91.2301,114.0405
5/26/2014,6.2392,89.5895,113.9512
5/27/2014,6.2486,91.2999,113.7664
5/28/2014,6.2556,91.368,113.7638
5/29/2014,6.2399,91.2063,114.0277
5/30/2014,6.2473,91.1929,113.9136
6/3/2014,6.2541,91.4616,114.0013
6/4/2014,6.2504,91.5515,114.1494
6/5/2014,6.2548,91.4733,114.0003
6/6/2014,6.2502,91.4197,113.8809
6/9/2014,6.2404,91.4915,114.0136
6/10/2014,6.225,91.6365,114.3992
6/11/2014,6.2279,91.4597,114.3968
6/12/2014,6.2185,91.293,114.5448
6/13/2014,6.2107,91.408,114.4885
6/16/2014,6.225,91.1476,114.4164
6/17/2014,6.2269,91.3285,114.3512
6/18/2014,6.2314,91.3175,114.3553
6/19/2014,6.2296,90.9516,113.9425
6/20/2014,6.226,90.9558,114.1612
6/23/2014,6.2266,90.8031,114.1362
6/24/2014,6.2315,90.9045,113.9434
6/25/2014,6.2344,90.6585,113.937
6/26/2014,6.2251,90.6662,113.9947
6/27/2014,6.2181,90.497,114.0014
6/30/2014,6.205,90.2545,114.2427
7/1/2014,6.2016,90.2028,114.5003
7/2/2014,6.2106,90.344,114.3621
7/3/2014,6.2129,90.4922,114.4497
7/4/2014,6.2043,88.8688,114.7814
7/7/2014,6.204,90.5523,114.8114
7/8/2014,6.2022,90.5081,114.7421
7/9/2014,6.1999,90.4145,114.7255
7/10/2014,6.2028,90.4688,114.5958
7/11/2014,6.2037,90.6529,114.5253
7/14/2014,6.2059,90.6414,114.5636
7/15/2014,6.208,90.865,114.6165
7/16/2014,6.2047,90.9629,114.8969
7/17/2014,6.2045,90.9331,114.9271
7/18/2014,6.208,90.9635,114.8817
7/21/2014,6.2089,90.9361,114.8593
7/22/2014,6.2037,91.1353,115.0477
7/23/2014,6.1983,91.1306,115.0815
7/24/2014,6.1949,91.1993,115.261
7/25/2014,6.1915,91.4958,115.4639
7/28/2014,6.1863,91.4234,115.6486
7/29/2014,6.1815,91.7232,115.7622
7/30/2014,6.1717,92.1031,116.1095
7/31/2014,6.1747,92.0147,116.2947
8/1/2014,6.1798,91.9468,116.3346
8/4/2014,6.1785,92.0002,116.1761
8/5/2014,6.1708,92.2991,116.3583
8/6/2014,6.1633,92.1794,116.6232
8/7/2014,6.1619,92.1161,116.6844
8/8/2014,6.1567,92.1492,116.6953
8/11/2014,6.1536,92.122,116.7231
8/12/2014,6.1583,92.228,116.7355
8/13/2014,6.1544,92.2486,116.8322
8/14/2014,6.1531,92.1522,116.8509
8/15/2014,6.147,92.0737,116.8381
8/18/2014,6.1437,92.1407,116.9155
8/19/2014,6.1418,92.4588,117.0866
8/20/2014,6.1413,92.6609,117.3703
8/21/2014,6.1514,92.7477,117.4066
8/22/2014,6.1529,92.9164,117.2347
8/25/2014,6.155,93.074,117.5333
8/26/2014,6.1523,93.0752,117.5177
8/27/2014,6.1432,92.8806,117.6904
8/28/2014,6.1446,92.8027,117.557
8/29/2014,6.1432,92.9154,117.7422
9/1/2014,6.1428,91.2482,117.9707
9/2/2014,6.1488,93.3703,118.0593
9/3/2014,6.1411,93.1867,118.1964
9/4/2014,6.1386,93.8837,118.1741
9/5/2014,6.1412,93.8542,118.6622
9/9/2014,6.137,94.6747,119.2992
9/10/2014,6.1299,94.5863,119.4692
9/11/2014,6.13,94.671,119.5074
9/12/2014,6.1346,94.7834,119.5866
9/15/2014,6.142,94.7286,119.6304
9/16/2014,6.1462,94.3942,119.5524
9/17/2014,6.1401,94.4484,119.4533
9/18/2014,6.1406,94.669,119.9724
9/19/2014,6.1405,95.0565,120.0563
9/22/2014,6.1404,95.1742,120.1652
9/23/2014,6.1378,95.2002,120.1149
9/24/2014,6.1346,95.5225,120.2256
9/25/2014,6.1363,95.7109,120.6785
9/26/2014,6.127,96.1822,120.8872
9/29/2014,6.1501,96.0776,120.9177
9/30/2014,6.1395,96.544,121.0321
10/8/2014,6.139,96.2721,119.3925
10/9/2014,6.1305,96.0879,119.0657
10/10/2014,6.1309,96.3376,119.6362
10/13/2014,6.1259,94.6096,119.544
10/14/2014,6.1247,96.4121,119.5714
10/15/2014,6.1259,96.0061,119.7605
10/16/2014,6.1231,95.7637,119.1881
10/17/2014,6.124,95.976,119.2901
10/20/2014,6.1229,95.9366,119.417
10/21/2014,6.1212,95.9571,119.2452
10/22/2014,6.1185,96.2822,119.6662
10/23/2014,6.1195,96.4586,119.9294
10/24/2014,6.1172,96.2721,120.1358
10/27/2014,6.1167,96.1943,119.9944
10/28/2014,6.1133,95.9114,120.0383
10/29/2014,6.1112,95.7516,120.0124
10/30/2014,6.1159,96.5462,120.6728
10/31/2014,6.1135,97.4596,120.9552
11/3/2014,6.1183,97.9749,121.5697
11/4/2014,6.1152,97.8852,121.8113
11/5/2014,6.1146,98.2323,122.1633
11/6/2014,6.1123,98.7169,122.3488
11/7/2014,6.1229,98.5027,122.9283
11/10/2014,6.1196,98.4445,122.2402
11/11/2014,6.1252,96.684,122.6519
11/12/2014,6.1262,98.2427,122.2834
11/13/2014,6.1248,98.4403,122.3867
11/14/2014,6.1307,98.3715,122.7151
11/17/2014,6.1241,98.571,122.5631
11/18/2014,6.1213,98.2989,122.7802
11/19/2014,6.1198,98.501,122.822
11/20/2014,6.1245,98.5247,122.8968
11/21/2014,6.1249,98.7086,122.6702
11/24/2014,6.1417,98.7845,122.5308
11/25/2014,6.1365,98.5679,122.5681
11/26/2014,6.1389,98.296,122.5923
11/27/2014,6.1392,96.539,122.5672
11/28/2014,6.145,99.2444,123.0925
12/1/2014,6.152,98.7226,123.3955
12/2/2014,6.1503,99.408,123.4283
